Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
Standard Chartered Bank App,2022,8,0.14,73.6,,,,,0.14,73.6
SBI Bank Apps,2022,8,4.1,1926.51,,,,,4.1,1926.51
Tamilnad Mercantile Bank Apps,2022,8,0.06,7.94,,,,,0.06,7.94
TataNeu,2022,8,0.1,15.78,,,,,0.1,15.78
TJSB Bank Apps,2022,8,0.01,2.2,,,,,0.01,2.2
UCO Bank App,2022,8,0.25,65.69,,,,,0.25,65.69
Ultracash,2022,8,0.02,1.54,,,,,0.02,1.54
Union Bank Apps,2022,8,0.52,215.23,,,,,0.52,215.23
Utkarsh Small Finance Bank,2022,8,0.02,4.71,,,,,0.02,4.71
WhatsApp,2022,8,6.72,567.17,,,,,6.72,567.17
Yes Bank Apps,2022,8,54.6,13008.95,,,3.2,3225.97,57.8,16234.92
Others,2022,8,0.01,5.72,,,,,0.01,5.72
PhonePe,2023,8,4987.33,775265.57,0.0,0.0,0.0,0.0,4987.33,775265.57
Google Pay,2023,8,3767.68,538113.42,0.0,0.0,0.0,0.0,3767.68,538113.42
Paytm,2023,8,1363.05,153577.58,1.86,5.06,0.59,939.0,1484.82,176804.51
Cred,2023,8,85.13,31926.2,0.0,0.0,0.0,0.0,85.13,31926.2
Axis Bank Apps,2023,8,9.37,1753.27,60.0,1275.96,0.05,7.88,69.43,3037.11
Amazon Pay,2023,8,54.02,5836.99,0.0,0.0,0.0,0.0,54.02,5836.99
ICICI Bank Apps,2023,8,25.85,9721.96,4.29,333.25,8.42,10943.9,38.57,20999.12
Yes Bank Apps,2023,8,28.51,11154.68,0.0,0.0,0.44,100.09,28.94,11254.77
BHIM,2023,8,24.61,7793.58,0.0,0.0,0.0,0.0,24.61,7793.58
Kotak Mahindra Bank Apps,2023,8,21.16,3675.16,0.0,0.0,0.01,2.88,21.17,3678.04
FAM,2023,8,20.27,235.89,0.0,0.0,0.0,0.0,20.27,235.89
WhatsApp,2023,8,19.7,1677.53,0.0,0.0,0.0,0.0,19.7,1677.53
HDFC Bank Apps,2023,8,18.94,4671.76,0.0,0.0,0.0,0.0,18.94,4671.76
Bajaj Finserv,2023,8,13.22,1995.11,0.0,0.0,0.0,0.0,13.22,1995.11
Airtel Payments Bank Apps,2023,8,10.2,699.21,0.0,0.0,0.0,0.0,10.2,699.27
Samsung Pay,2023,8,6.0,538.48,0.0,0.0,0.0,0.0,6.0,538.48
Federal Bank App,2023,8,5.7,700.65,0.0,0.0,0.0,0.01,5.7,700.66
India Post Payments Bank App,2023,8,5.56,498.37,0.0,0.0,0.0,0.0,5.56,498.37
SBI Bank Apps,2023,8,5.36,2104.14,0.0,0.0,0.02,0.67,5.39,2104.81
Groww,2023,8,4.74,2911.09,0.0,0.0,0.0,0.0,4.74,2911.09
IDFC First Bank Apps,2023,8,4.36,1107.81,0.0,0.0,0.0,0.0,4.36,1107.81
Mobikwik,2023,8,3.96,1203.54,0.0,0.0,0.0,0.0,3.96,1203.54
Jupiter Money,2023,8,3.94,500.95,0.0,0.0,0.0,0.0,3.94,500.95
Standard Chartered Bank App,2023,8,3.31,369.55,0.0,0.0,0.28,144.89,3.59,514.44
Deutsche Bank App,2023,8,2.08,359.84,0.0,0.0,0.0,0.01,2.08,359.86
Canara Bank App,2023,8,1.64,492.29,0.0,0.0,0.0,0.0,1.64,492.29
Jio Payments Bank App,2023,8,1.42,113.65,0.0,0.0,0.0,0.0,1.42,113.65
RBL Bank App,2023,8,1.2,540.67,0.0,0.02,0.19,7.62,1.38,548.31
Bank of Baroda Apps,2023,8,1.27,462.61,0.0,0.0,0.0,4.23,1.27,466.84
Slice,2023,8,0.96,306.89,0.0,0.0,0.0,0.0,0.96,306.89
Union Bank Apps,2023,8,0.9,324.77,0.0,0.0,0.0,0.0,0.9,324.77
Punjab National Bank App,2023,8,0.86,179.75,0.0,0.0,0.0,0.0,0.86,179.75
