Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
OMNI,2024,6,1.28,53.41,0.0,0.0,0.0,0.0,1.28,53.41
Union Bank Apps,2024,6,1.06,461.02,0.0,0.0,0.0,0.0,1.06,461.02
Bank of Baroda Apps,2024,6,1.03,450.62,0.0,0.0,0.0,0.0,1.03,450.62
Central Bank of India App,2024,6,0.83,188.63,0.0,0.0,0.0,0.0,0.83,188.63
AU Small Finance Bank App,2024,6,0.76,227.63,0.0,0.0,0.0,0.0,0.76,227.63
Jammu and Kashmir Bank App,2024,6,0.75,97.58,0.0,0.0,0.0,0.0,0.75,97.58
DBS Bank Apps,2024,6,0.49,198.19,0.0,0.0,0.0,0.49,0.5,198.68
South Indian Bank App,2024,6,0.49,144.78,0.0,0.0,0.0,0.0,0.49,144.78
INDIE,2024,6,0.42,115.96,0.0,0.0,0.01,1.9,0.43,117.86
Fino Payments Bank App,2024,6,0.41,55.79,0.0,0.0,0.0,0.0,0.41,55.79
HSBC Bank App,2024,6,0.4,148.04,0.0,0.05,0.0,0.0,0.4,148.09
Shriram One,2024,6,0.28,37.04,0.0,0.0,0.0,0.0,0.28,37.04
UCO Bank App,2024,6,0.22,67.4,0.0,0.0,0.0,0.0,0.22,67.4
Digikhata,2024,6,0.19,63.31,0.0,0.0,0.0,0.0,0.19,63.31
Karnataka Bank App,2024,6,0.18,33.54,0.0,0.0,0.0,0.0,0.18,33.55
Standard Chartered Bank App,2024,6,0.17,117.31,0.0,0.0,0.0,0.05,0.17,117.35
TataNeu,2024,6,0.16,23.31,0.0,0.0,0.0,0.0,0.16,23.31
GoKiwi,2024,6,0.15,31.43,0.0,0.0,0.0,0.0,0.15,31.43
Suryoday,2024,6,0.14,0.02,0.0,0.0,0.0,0.0,0.14,0.02
Indian Overseas Bank Apps,2024,6,0.13,37.62,0.0,0.0,0.0,0.0,0.13,37.62
super.money #,2024,6,0.13,5.04,0.0,0.0,0.0,0.0,0.13,5.04
Dhani,2024,6,0.11,13.84,0.0,0.0,0.0,0.0,0.11,13.84
Bank of India App,2024,6,0.1,38.05,0.0,0.0,0.0,0.0,0.1,38.05
Ultracash,2024,6,0.09,6.51,0.0,0.0,0.0,0.0,0.09,6.51
Tamilnad Mercantile Bank Apps,2024,6,0.08,26.21,0.0,0.0,0.0,0.0,0.08,26.21
City Union Bank App,2024,6,0.08,28.66,0.0,0.0,0.0,0.0,0.08,28.66
Pop Club,2024,6,0.07,4.87,0.0,0.0,0.0,0.0,0.07,4.87
Citi Bank App,2024,6,0.06,70.21,0.0,0.0,0.0,0.3,0.07,70.51
Aditya Birla Capital Digital,2024,6,0.07,3.45,0.0,0.0,0.0,0.0,0.07,3.45
IDBI Bank App,2024,6,0.07,27.06,0.0,0.0,0.0,0.0,0.07,27.06
NSDL Payments Bank App,2024,6,0.06,10.09,0.0,0.0,0.0,0.0,0.06,10.09
Bank of Maharashtra App,2024,6,0.05,11.11,0.0,0.0,0.0,0.0,0.05,11.11
Karur Vysya Bank App,2024,6,0.05,18.73,0.0,0.0,0.0,0.0,0.05,18.73
Niyo Global,2024,6,0.05,24.78,0.0,0.0,0.0,0.0,0.05,24.78
Equitas Small Apps,2024,6,0.04,26.25,0.0,0.0,0.0,0.0,0.04,26.25
Punjab Sindh Bank App,2024,6,0.03,12.38,0.0,0.0,0.0,0.0,0.03,12.38
Others,2024,6,1.41,180.43,0.0,0.0,0.13,3.67,1.54,184.11
Airtel Payments Bank Apps,2022,3,8.33,1934.41,,,,,13.16,4492.25
Allahabad Bank App,2022,3,0.02,6.15,,,,,0.02,6.15
Amazon Pay,2022,3,76.34,6894.78,,,,,76.34,6894.78
AU Small Finance Bank App,2022,3,0.29,104.48,,,,,0.29,104.48
Axis Bank Apps,2022,3,7.09,1045.13,54.21,39.81,0.0,0.0,61.29,1084.94
Bajaj Finserv,2022,3,0.35,24.08,,,,,0.35,24.08
Bank of Baroda Apps,2022,3,0.69,328.61,,,,,0.69,328.61
Bank of India App,2022,3,0.08,26.22,,,,,0.08,26.22
Bank of Maharashtra App,2022,3,0.05,15.0,,,,,0.05,15.0
BHIM,2022,3,24.88,8050.24,,,,,24.88,8050.24
Canara Bank App,2022,3,0.31,109.68,,,,,0.31,109.68
Central Bank of India App,2022,3,0.14,50.67,,,,,0.14,50.67
Citi Bank App,2022,3,0.11,68.41,,,,,0.11,68.41
City Union Bank App,2022,3,0.03,7.3,,,,,0.03,7.3
Cointab,2022,3,0.08,33.22,,,,,0.08,33.22
Cred,2022,3,12.11,16136.11,,,,,12.11,16136.11
DBS Bank Apps,2022,3,0.49,185.52,,,,,0.49,185.52
Dena Bank App,2022,3,0.02,29.32,,,,,0.02,29.32
Deutsche Bank App,2022,3,1.02,91.66,,,0.0,1.36,1.02,93.02
Dhanlaxmi Bank App,2022,3,0.01,3.29,,,,,0.01,3.29
Fave,2022,3,0.37,13.0,,,,,0.37,13.0
Federal Bank App,2022,3,2.45,360.96,,,,,2.45,360.96
Fino Payments Bank App,2022,3,0.04,3.47,,,,,0.04,3.47
Finserv Markets,2022,3,0.03,1.49,,,,,0.03,1.49
Finshell Pay,2022,3,0.08,4.0,,,,,0.08,4.0
GoIbibo,2022,3,0.02,5.91,,,,,0.02,5.91
Google Pay,2022,3,1838.12,338873.25,,,,,1838.12,338873.25
Groww,2022,3,0.83,472.71,,,,,0.83,472.71
HDFC Bank Apps,2022,3,5.45,1624.54,,,,,5.45,1624.54
HSBC Bank App,2022,3,0.1,61.85,0.0,0.16,,,0.1,62.0
ICICI Bank Apps,2022,3,31.49,10304.08,3.65,234.61,,,35.13,10538.69
IDBI Bank App,2022,3,0.03,16.25,,,,,0.03,16.25
IDFC First Bank Apps,2022,3,2.7,534.56,,,0.0,0.0,2.7,534.56
India Post Payments Bank App,2022,3,2.95,321.14,,,,,2.95,321.14
Indian Bank App,2022,3,0.11,42.26,,,0.0,0.0,0.11,42.26
Indian Overseas Bank Apps,2022,3,0.01,1.62,,,,,0.01,1.62
INDIE,2022,3,1.03,2252.3,,,,,1.03,2252.3
Jammu and Kashmir Bank App,2022,3,0.01,2.15,,,,,0.01,2.15
Janta Sahakari Bank App,2022,3,0.01,4.51,,,,,0.01,4.51
Jio Payments Bank App,2022,3,2.27,129.5,,,,,2.27,129.5
Jupiter Money,2022,3,1.32,164.8,,,,,1.32,164.8
Karnataka Bank App,2022,3,0.3,37.96,,,0.0,0.0,0.3,37.96
Karur Vysya Bank App,2022,3,0.04,18.29,,,,,0.04,18.29
Kotak Mahindra Bank Apps,2022,3,7.92,1587.51,,,,,7.92,1587.51
MakeMyTrip,2022,3,0.1,47.1,,,,,0.1,47.1
MI Pay,2022,3,0.24,36.02,,,,,0.24,36.02
Mobikwik,2022,3,3.6,739.25,,,,,3.6,739.25
NSDL Payments Bank App,2022,3,0.02,2.28,,,,,0.02,2.28
Paytm,2022,3,729.63,83840.44,9.77,17.68,,,837.14,95650.36
PhonePe,2022,3,2527.15,471401.26,,,,,2527.15,471401.26
Punjab National Bank App,2022,3,0.09,46.64,,,,,0.09,46.64
Punjab Sindh Bank App,2022,3,0.01,3.8,,,,,0.01,3.8
RBL Bank App,2022,3,0.46,126.74,,,0.0,0.0,0.46,126.75
Samsung Pay,2022,3,3.73,473.5,,,,,3.73,473.5
South Indian Bank App,2022,3,0.13,44.63,,,,,0.13,44.63
Standard Chartered Bank App,2022,3,0.13,69.84,,,,,0.13,69.84
SBI Bank Apps,2022,3,4.01,2130.56,,,0.0,0.0,4.01,2130.56
SuperPay,2022,3,0.1,0.64,,,,,0.1,0.64
UCO Bank App,2022,3,0.19,40.88,,,,,0.19,40.88
Ultracash,2022,3,0.03,1.12,,,,,0.03,1.12
Union Bank Apps,2022,3,0.41,197.01,,,,,0.41,197.01
Utkarsh Small Finance Bank,2022,3,0.01,3.9,,,,,0.01,3.9
WhatsApp,2022,3,2.54,239.78,,,,,2.54,239.78
Yes Bank Apps,2022,3,35.25,8746.74,0.0,0.0,,,35.25,8746.74
YuvaPay,2022,3,0.06,105.39,,,,,0.06,105.39
Others,2022,3,0.02,8.11,,,,,0.02,8.11
Airtel Payments Bank Apps,2023,3,10.66,761.39,,,0.0,0.0,10.66,761.51
Allahabad Bank App,2023,3,0.03,8.33,,,,,0.03,8.33
Amazon Pay,2023,3,50.56,5360.9,,,,,50.56,5360.9
AU Small Finance Bank App,2023,3,0.62,186.48,,,,,0.62,186.48
Axis Bank Apps,2023,3,9.31,1700.48,48.9,273.18,0.03,3.0,58.24,1976.67
Bajaj Finserv,2023,3,6.7,965.35,,,,,6.7,965.35
Bajaj Finserv,2023,3,0.05,12.22,,,,,0.05,12.22
Bajaj Finserv,2023,3,0.01,0.35,,,,,0.01,0.35
Bandhan Bank Apps,2023,3,0.01,1.5,,,,,0.01,1.5
Bank of America Apps,2023,3,0.01,2.06,,,0.0,0.0,0.01,2.07
Bank of Baroda Apps,2023,3,1.16,446.84,,,0.0,0.42,1.16,447.25
Bank of India App,2023,3,0.23,71.14,,,,,0.23,71.14
Bank of Maharashtra App,2023,3,0.06,21.29,,,,,0.06,21.29
BHIM,2023,3,23.68,7498.24,,,,,23.68,7498.24
Canara Bank App,2023,3,1.39,374.43,,,,,1.39,374.43
Central Bank of India App,2023,3,0.36,83.48,,,0.0,0.09,0.36,83.56
Citi Bank App,2023,3,0.12,67.55,,,0.0,0.01,0.12,67.55
City Union Bank App,2023,3,0.06,18.93,,,,,0.06,18.93
Cointab,2023,3,0.04,19.07,,,,,0.04,19.07
Cred,2023,3,42.84,21056.31,,,,,42.84,21056.31
DBS Bank Apps,2023,3,0.41,177.88,,,,,0.41,177.88
Deutsche Bank App,2023,3,1.72,167.84,,,0.02,19.27,1.73,187.11
Dhanlaxmi Bank App,2023,3,0.01,3.21,,,,,0.01,3.21
Equitas Small Apps,2023,3,0.02,13.57,,,,,0.02,13.57
EROUTE,2023,3,0.27,19.25,,,,,0.27,19.25
FamApp by Trio,2023,3,9.49,124.59,,,,,9.49,124.59
Fave,2023,3,0.08,6.4,,,,,0.08,6.4
Federal Bank App,2023,3,5.25,648.5,,,0.0,0.0,5.25,648.51
Fino Payments Bank App,2023,3,0.13,8.18,,,,,0.13,8.18
Google Pay,2023,3,3054.44,482896.69,,,,,3054.44,482896.69
Groww,2023,3,0.18,137.64,,,,,0.18,137.64
HDFC Bank Apps,2023,3,14.22,3644.87,,,0.0,0.01,14.22,3644.88
HSBC Bank App,2023,3,0.14,89.69,0.0,0.03,0.0,0.0,0.14,89.71
ICICI Bank Apps,2023,3,29.46,8773.27,4.87,348.16,7.26,8502.71,41.59,17624.14
IDBI Bank App,2023,3,0.07,32.38,,,,,0.07,32.38
IDFC First Bank Apps,2023,3,13.36,2665.21,,,0.67,640.96,14.02,3306.18
India Post Payments Bank App,2023,3,4.44,667.69,,,,,4.44,667.69
Indian Bank App,2023,3,0.26,75.85,,,0.0,16.56,0.26,92.41
Indian Overseas Bank Apps,2023,3,0.02,4.47,,,,,0.02,4.47
INDIE,2023,3,0.93,950.35,,,,,0.93,950.35
Janta Sahakari Bank App,2023,3,0.01,3.74,,,,,0.01,3.74
Jio Payments Bank App,2023,3,1.68,118.72,,,,,1.68,118.72
Jupiter Money,2023,3,2.66,358.12,,,,,2.66,358.12
Karnataka Bank App,2023,3,0.42,91.53,,,,,0.42,91.53
Karur Vysya Bank App,2023,3,0.04,15.84,,,,,0.04,15.84
Kotak Mahindra Bank Apps,2023,3,13.77,2854.64,,,0.0,0.01,13.77,2854.65
LivQuick PPI,2023,3,0.01,0.64,,,,,0.01,0.64
MakeMyTrip,2023,3,0.05,23.5,,,,,0.05,23.5
Mobikwik,2023,3,3.64,937.98,,,,,3.64,937.98
NSDL Payments Bank App,2023,3,0.03,3.47,,,,,0.03,3.47
Paytm,2023,3,1169.63,133167.49,12.95,20.36,0.55,782.71,1288.38,154430.4
PhonePe,2023,3,4076.32,707410.47,,,,,4076.32,707410.47
Punjab National Bank App,2023,3,0.43,110.59,,,,,0.43,110.59
Punjab Sindh Bank App,2023,3,0.04,13.74,,,,,0.04,13.74
RBL Bank App,2023,3,1.79,544.09,0.0,0.0,0.09,1.89,1.88,545.98
Samsung Pay,2023,3,5.68,528.09,,,,,5.68,528.09
South Indian Bank App,2023,3,0.22,66.08,,,,,0.22,66.08
Standard Chartered Bank App,2023,3,0.15,94.14,,,0.0,0.0,0.15,94.14
SBI Bank Apps,2023,3,4.36,2011.57,,,0.0,0.08,4.36,2011.65
Tamilnad Mercantile Bank Apps,2023,3,0.07,12.42,,,,,0.07,12.42
TataNeu,2023,3,0.12,15.0,,,,,0.12,15.0
Transerv,2023,3,0.06,8.11,,,,,0.06,8.11
UCO Bank App,2023,3,0.36,116.66,,,,,0.36,116.66
Ultracash,2023,3,0.04,2.61,,,,,0.04,2.61
Union Bank Apps,2023,3,0.75,310.24,,,,,0.75,310.24
Utkarsh Small Finance Bank,2023,3,0.02,6.35,,,,,0.02,6.35
WhatsApp,2023,3,13.35,1144.76,,,,,13.35,1144.76
Yes Bank Apps,2023,3,30.78,10038.78,,,0.68,55.12,31.47,10093.9
Others,2023,3,0.02,5.18,,,,,0.02,5.18
PhonePe,2024,3,7401.93,1088635.03,0.0,0.0,0.0,0.0,7401.93,1088635.03
Google Pay,2024,3,5739.12,764639.66,0.0,0.0,0.0,0.0,5739.12,764639.66
Paytm,2024,3,1075.09,118004.06,0.0,0.0,0.0,0.0,1075.09,118004.06
Navi,2024,3,152.95,8806.45,0.0,0.0,0.0,0.0,152.95,8806.45
Cred,2024,3,138.24,50560.48,0.0,0.0,0.0,0.0,138.24,50560.48
Axis Bank Apps,2024,3,22.2,4151.71,108.14,2184.35,0.01,1.78,130.36,6337.84
super.money #,2024,3,78.49,3130.1,0.0,0.0,0.0,0.0,78.49,3130.1
Amazon Pay,2024,3,71.6,7914.87,0.0,0.0,0.0,0.0,71.6,7914.87
FamApp by Trio,2024,3,67.41,777.46,0.0,0.0,0.0,0.0,67.41,777.46
ICICI Bank Apps,2024,3,51.13,18538.92,0.01,8.18,2.57,2951.05,53.71,21498.14
WhatsApp,2024,3,51.76,3890.1,0.0,0.0,0.0,0.0,51.76,3890.1
Kotak Mahindra Bank Apps,2024,3,47.35,6583.09,0.0,0.0,0.0,0.0,47.35,6583.09
HDFC Bank Apps,2024,3,36.67,10416.41,0.16,0.34,0.01,0.52,36.84,10417.27
Yes Bank Apps,2024,3,35.35,9201.05,0.0,0.03,0.33,14.02,35.69,9215.09
BHIM,2024,3,27.05,8210.65,0.0,0.0,0.0,0.0,27.05,8210.65
Airtel Payments Bank Apps,2024,3,18.6,1389.67,0.0,0.0,0.0,0.05,18.6,1389.73
Mobikwik,2024,3,16.63,2942.38,0.0,0.0,0.0,0.0,16.63,2942.38
Flipkart UPI,2024,3,13.25,636.91,0.0,0.0,0.0,0.0,13.25,636.91
Groww,2024,3,13.22,8479.87,0.0,0.0,0.0,0.0,13.22,8479.87
Slice,2024,3,11.54,845.13,0.0,0.0,0.0,0.0,11.54,845.13
SBI Bank Apps,2024,3,10.46,3035.13,0.0,0.0,0.0,0.0,10.46,3035.13
India Post Payments Bank App,2024,3,8.91,1131.95,0.0,0.0,0.0,0.0,8.91,1131.95
IDFC First Bank Apps,2024,3,8.59,1931.32,0.0,0.0,0.01,1.0,8.6,1932.32
Bajaj Finserv,2024,3,8.1,1584.15,0.0,0.0,0.0,0.0,8.1,1584.15
Samsung Pay,2024,3,7.9,578.99,0.0,0.0,0.0,0.0,7.9,578.99
Jupiter Money,2024,3,6.02,825.36,0.0,0.0,0.0,0.0,6.02,825.36
RBL Bank App,2024,3,4.99,908.57,0.0,0.0,0.04,5.71,5.03,914.28
Pop Club,2024,3,4.0,267.15,0.0,0.0,0.0,0.0,4.0,267.15
Federal Bank App,2024,3,3.36,578.23,0.0,0.0,0.0,0.0,3.36,578.23
Punjab National Bank App,2024,3,3.31,753.1,0.0,0.0,0.0,0.0,3.31,753.1
Jio Payments Bank App,2024,3,3.18,263.81,0.0,0.0,0.0,0.0,3.18,263.81
Fi Money #,2024,3,3.07,373.29,0.0,0.0,0.0,0.0,3.07,373.29
Canara Bank App,2024,3,3.01,802.16,0.0,0.0,0.0,0.0,3.01,802.16
Deutsche Bank App,2024,3,2.68,400.97,0.0,0.0,0.0,0.07,2.68,401.03
Indian Bank App,2024,3,2.19,410.19,0.0,0.0,0.0,0.0,2.19,410.19
Timepay,2024,3,1.72,19.88,0.0,0.0,0.0,0.0,1.72,19.88
OMNI,2024,3,1.35,100.86,0.0,0.0,0.0,0.0,1.35,100.86
Central Bank of India App,2024,3,1.06,197.17,0.0,0.0,0.0,0.0,1.06,197.17
Bank of Baroda Apps,2024,3,1.01,389.1,0.0,0.0,0.0,0.0,1.01,389.1
Jammu and Kashmir Bank App,2024,3,0.79,135.44,0.0,0.0,0.0,0.0,0.79,135.44
Union Bank Apps,2024,3,0.73,238.56,0.0,0.0,0.0,0.0,0.73,238.56
GoKiwi,2024,3,0.69,106.42,0.0,0.0,0.0,0.0,0.69,106.42
HSBC Bank App,2024,3,0.68,176.26,0.0,0.1,0.0,0.09,0.68,176.45
Aditya Birla Capital Digital,2024,3,0.66,30.09,0.0,0.0,0.0,0.0,0.66,30.09
South Indian Bank App,2024,3,0.59,167.92,0.0,0.0,0.0,0.0,0.59,167.92
DBS Bank Apps,2024,3,0.57,190.59,0.0,0.0,0.0,1.14,0.57,191.73
Fino Payments Bank App,2024,3,0.51,64.81,0.0,0.0,0.0,0.0,0.51,64.81
Digikhata,2024,3,0.46,156.43,0.0,0.0,0.0,0.0,0.46,156.43
AU Small Finance Bank App,2024,3,0.45,134.47,0.0,0.0,0.0,0.0,0.45,134.47
Shriram One,2024,3,0.38,39.72,0.0,0.0,0.0,0.0,0.38,39.72
INDIE,2024,3,0.35,90.83,0.0,0.0,0.01,1.49,0.36,92.32
One Card #,2024,3,0.36,356.22,0.0,0.0,0.0,0.0,0.36,356.22
TataNeu,2024,3,0.3,78.83,0.0,0.0,0.0,0.0,0.3,78.83
True Balance,2024,3,0.29,33.18,0.0,0.0,0.0,0.0,0.29,33.18
UCO Bank App,2024,3,0.28,66.32,0.0,0.0,0.0,0.0,0.28,66.32
Bank of India App,2024,3,0.2,55.8,0.0,0.0,0.0,0.0,0.2,55.8
Standard Chartered Bank App,2024,3,0.18,114.58,0.0,0.0,0.0,0.0,0.18,114.58
Indian Overseas Bank Apps,2024,3,0.18,49.21,0.0,0.0,,,0.18,49.21
Karnataka Bank App,2024,3,0.18,38.31,0.0,0.0,0.0,0.0,0.18,38.31
Dhani,2024,3,0.13,13.25,0.0,0.0,0.0,0.0,0.13,13.25
ESAF Small Finance Bank Apps,2024,3,0.12,14.69,0.0,0.0,0.0,0.0,0.12,14.69
Niyo Global,2024,3,0.09,52.41,0.0,0.0,0.0,0.0,0.09,52.41
Rapipay,2024,3,0.09,11.7,0.0,0.0,0.0,0.0,0.09,11.7
Suryoday,2024,3,0.08,0.22,0.0,0.0,0.0,0.01,0.08,0.23
IDBI Bank App,2024,3,0.08,30.01,0.0,0.0,0.0,0.0,0.08,30.01
Ultracash,2024,3,0.08,5.71,0.0,0.0,0.0,0.0,0.08,5.71
NSDL Payments Bank App,2024,3,0.08,9.73,0.0,0.0,0.0,0.0,0.08,9.73
City Union Bank App,2024,3,0.07,26.24,0.0,0.0,0.0,0.0,0.07,26.24
Bharat Pe,2024,3,0.07,8.29,0.0,0.0,0.0,0.0,0.07,8.29
Tamilnad Mercantile Bank Apps,2024,3,0.07,23.33,0.0,0.0,0.0,0.0,0.07,23.33
Salary Se #,2024,3,0.07,3.75,0.0,0.0,0.0,0.0,0.07,3.75
Genwise #,2024,3,0.06,22.84,0.0,0.0,0.0,0.0,0.06,22.84
Karur Vysya Bank App,2024,3,0.05,17.82,0.0,0.0,0.0,0.0,0.05,17.82
Equitas Small Apps,2024,3,0.03,25.69,0.0,0.0,0.0,0.0,0.03,25.69
Freo #,2024,3,0.03,1.8,0.0,0.0,0.0,0.0,0.03,1.8
Cheq,2024,3,0.03,1.84,0.0,0.0,0.0,0.0,0.03,1.84
Money View #,2024,3,0.02,2.77,0.0,0.0,0.0,0.0,0.02,2.77
Punjab Sindh Bank App,2024,3,0.02,10.76,0.0,0.0,0.0,0.0,0.02,10.76
Spice Money,2024,3,0.02,2.73,0.0,0.0,0.0,0.0,0.02,2.73
Kredit.Pe #,2024,3,0.02,2.67,0.0,0.0,0.0,0.0,0.02,2.67
Others,2024,3,1.52,219.56,0.0,0.0,0.13,5.62,1.65,225.18
Airtel Payments Bank Apps,2022,5,6.1,486.55,,,0.0,0.0,6.11,486.62
Allahabad Bank App,2022,5,0.02,6.25,,,,,0.02,6.25
Amazon Pay,2022,5,74.83,6954.18,,,,,74.83,6954.18
AU Small Finance Bank App,2022,5,0.35,107.22,,,,,0.35,107.22
Axis Bank Apps,2022,5,7.46,1372.31,51.14,48.08,0.06,4.77,58.66,1425.16
Bajaj Finserv,2022,5,0.79,58.53,,,,,0.79,58.53
Bank of Baroda Apps,2022,5,0.88,406.79,,,0.0,0.0,0.88,406.79
Bank of India App,2022,5,0.12,40.04,,,,,0.12,40.04
Bank of Maharashtra App,2022,5,0.06,16.47,,,,,0.06,16.47
BHIM,2022,5,26.57,9559.66,,,,,26.57,9559.66
Canara Bank App,2022,5,0.33,114.09,,,,,0.33,114.09
Central Bank of India App,2022,5,0.15,55.4,,,,,0.15,55.4
Citi Bank App,2022,5,0.13,78.71,,,0.0,0.0,0.13,78.71
City Union Bank App,2022,5,0.03,10.06,,,,,0.03,10.06
Cointab,2022,5,0.06,23.77,,,,,0.06,23.77
Cred,2022,5,13.89,18174.61,,,,,13.89,18174.61
DBS Bank Apps,2022,5,0.47,186.33,,,,,0.47,186.33
Deutsche Bank App,2022,5,1.64,116.54,,,0.0,0.0,1.64,116.55
Dhanlaxmi Bank App,2022,5,0.01,3.35,,,,,0.01,3.35
Fave,2022,5,0.1,6.12,,,,,0.1,6.12
Federal Bank App,2022,5,3.42,474.12,,,,,3.42,474.12
Fino Payments Bank App,2022,5,0.04,3.83,,,,,0.04,3.83
Finserv Markets,2022,5,0.01,1.01,,,,,0.01,1.01
Finshell Pay,2022,5,0.09,4.68,,,,,0.09,4.68
GoIbibo,2022,5,0.01,2.41,,,,,0.01,2.41
Google Pay,2022,5,2079.92,365989.27,,,,,2079.92,365989.27
Groww,2022,5,0.51,335.28,,,,,0.51,335.28
HDFC Bank Apps,2022,5,6.95,1981.11,,,,,6.95,1981.11
HSBC Bank App,2022,5,0.1,63.07,0.0,0.1,0.0,0.0,0.1,63.17
ICICI Bank Apps,2022,5,32.75,9221.65,2.01,120.93,2.82,1714.32,37.59,11056.9
IDBI Bank App,2022,5,0.03,18.48,,,,,0.03,18.48
IDFC First Bank Apps,2022,5,4.75,626.34,,,0.0,0.0,4.75,626.34
India Post Payments Bank App,2022,5,3.1,351.88,,,,,3.1,351.88
Indian Bank App,2022,5,0.16,53.11,,,0.0,0.02,0.16,53.13
Indian Overseas Bank Apps,2022,5,0.01,2.35,,,,,0.01,2.35
INDIE,2022,5,1.01,1711.21,,,,,1.01,1711.21
Janta Sahakari Bank App,2022,5,0.01,4.79,,,,,0.01,4.79
Jio Payments Bank App,2022,5,2.08,127.88,,,,,2.08,127.88
Jupiter Money,2022,5,1.79,215.44,,,,,1.79,215.44
Jupiter Money,2022,5,0.1,5.74,,,,,0.1,5.74
Karnataka Bank App,2022,5,0.33,40.34,,,,,0.33,40.34
Karur Vysya Bank App,2022,5,0.04,17.69,,,,,0.04,17.69
Kotak Mahindra Bank Apps,2022,5,8.5,1882.81,,,0.0,2.19,8.5,1885.0
MakeMyTrip,2022,5,0.09,43.26,,,,,0.09,43.26
MI Pay,2022,5,0.2,33.9,,,,,0.2,33.9
Mobikwik,2022,5,2.46,397.7,,,,,2.46,397.7
NSDL Payments Bank App,2022,5,0.02,2.39,,,,,0.02,2.39
Paytm,2022,5,780.87,91546.5,3.66,5.96,0.19,224.61,887.45,108276.78
PhonePe,2022,5,2778.75,511028.81,,,,,2778.75,511028.81
Punjab National Bank App,2022,5,0.09,43.77,,,,,0.09,43.77
Punjab Sindh Bank App,2022,5,0.01,6.39,,,,,0.01,6.39
RBL Bank App,2022,5,0.32,124.01,,,0.05,1.38,0.38,125.39
Samsung Pay,2022,5,4.11,490.3,,,,,4.11,490.3
South Indian Bank App,2022,5,0.14,49.73,,,,,0.14,49.73
Standard Chartered Bank App,2022,5,0.13,70.48,,,0.0,0.0,0.13,70.48
SBI Bank Apps,2022,5,4.18,2195.66,,,0.0,0.0,4.18,2195.66
Tamilnad Mercantile Bank Apps,2022,5,0.01,1.13,,,,,0.01,1.13
TataNeu,2022,5,0.22,30.33,,,,,0.22,30.33
UCO Bank App,2022,5,0.22,46.39,,,,,0.22,46.39
Ultracash,2022,5,0.05,4.4,,,,,0.05,4.4
Union Bank Apps,2022,5,0.45,211.85,,,,,0.45,211.85
Utkarsh Small Finance Bank,2022,5,0.01,4.43,,,,,0.01,4.43
WhatsApp,2022,5,3.48,294.98,,,,,3.48,294.98
Yes Bank Apps,2022,5,38.19,10760.55,0.0,0.0,1.5,999.61,39.69,11760.16
YuvaPay,2022,5,0.04,88.95,,,,,0.04,88.95
Others,2022,5,0.03,10.7,,,,,0.03,10.7
Airtel Payments Bank Apps,2023,5,9.17,627.09,0.0,0.0,0.0,0.0,9.17,627.17
Allahabad Bank App,2023,5,0.03,8.87,0.0,0.0,0.0,0.0,0.03,8.87
Amazon Pay,2023,5,57.08,5772.68,0.0,0.0,0.0,0.0,57.08,5772.68
AU Small Finance Bank App,2023,5,0.65,193.87,0.0,0.0,0.0,0.0,0.65,193.87
Axis Bank Apps,2023,5,10.19,1697.23,37.0,217.0,0.03,3.0,47.38,1916.44
Bajaj Finserv,2023,5,9.12,1189.82,0.0,0.0,0.0,0.0,9.12,1189.82
Bank of Baroda Apps,2023,5,1.11,412.02,0.0,0.0,0.0,0.0,1.11,412.03
Bank of India App,2023,5,0.22,69.86,0.0,0.0,0.0,0.0,0.22,69.87
BHIM,2023,5,22.96,7209.87,0.0,0.0,0.0,0.0,22.96,7209.87
BPAYWALLET,2023,5,0.06,9.65,0.0,0.0,0.0,0.0,0.06,9.65
Canara Bank App,2023,5,1.48,431.27,0.0,0.0,0.0,0.0,1.48,431.27
Central Bank of India App,2023,5,0.43,95.52,0.0,0.0,0.0,0.0,0.43,95.58
Citi Bank App,2023,5,0.09,55.38,0.0,0.0,0.0,0.0,0.09,55.38
City Union Bank App,2023,5,0.06,20.02,0.0,0.0,0.0,0.0,0.06,20.02
Cointab,2023,5,0.01,4.24,0.0,0.0,0.0,0.0,0.01,4.24
Cred,2023,5,61.04,23426.74,0.0,0.0,0.0,0.0,61.04,23426.74
DBS Bank Apps,2023,5,0.42,174.75,0.0,0.0,0.0,0.0,0.42,174.75
Deutsche Bank App,2023,5,1.89,174.25,0.0,0.0,0.0,0.0,1.89,174.27
Dhani,2023,5,0.04,7.55,0.0,0.0,0.0,0.0,0.04,7.55
Dhanlaxmi Bank App,2023,5,0.01,2.93,0.0,0.0,0.0,0.0,0.01,2.93
Equitas Small Apps,2023,5,0.03,16.31,0.0,0.0,0.0,0.0,0.03,16.31
FAM,2023,5,13.78,166.5,0.0,0.0,0.0,0.0,13.78,166.5
Fave,2023,5,0.02,1.68,0.0,0.0,0.0,0.0,0.02,1.68
Federal Bank App,2023,5,5.12,643.6,0.0,0.0,0.0,0.0,5.12,643.62
Fino Payments Bank App,2023,5,0.09,6.6,0.0,0.0,0.0,0.0,0.09,6.6
